"","Accession","Gene_Name"
"482","P61313","RPL15"
"483","P62841","RPS15"
"484","P27708","CAD"
"485","P61289","PSME3"
"486","P63267","ACTG2"
"487","P84098","RPL19"
"488","P04406","GAPDH"
"489","P50914","RPL14"
"490","P62888","RPL30"
"491","P62906","RPL10A"
"492","P67809","YBX1"
"493","Q9NRR5","UBQLN4"
"494","O43399","TPD52L2"
"495","P61254","RPL26"
"496","P62266","RPS23"
"497","Q04917","YWHAH"
"498","Q13616","CUL1"
"499","O75821","EIF3G"
"500","P05386","RPLP1"
"501","P54725","RAD23A"
"502","P62829","RPL23"
"503","P62857","RPS28"
"504","P07195","LDHB"
"505","P31947","SFN"
"506","P05783","KRT18"
"507","P22626","HNRNPA2B1"
"508","P48643","CCT5"
"509","Q7L5D6","GET4"
"510","P40227","CCT6A"
"511","P46779","RPL28"
"512","P46783","RPS10"
"513","P63220","RPS21"
"514","Q15046","KARS1"
"515","O15372","EIF3H"
"516","P41091","EIF2S3"
"517","P55084","HADHB"
"518","O95714","HERC2"
"519","P13423","pagA"
"520","P14625","HSP90B1"
"521","P36957","DLST"
"522","P50991","CCT4"
"523","Q8N163","CCAR2"
"524","Q9GZP4","PITHD1"
"525","P17987","TCP1"
"526","P26038","MSN"
"527","P30050","RPL12"
"528","P41252","IARS1"
"529","P46776","RPL27A"
"530","P62244","RPS15A"
"531","P62917","RPL8"
"532","Q9P2J5","LARS1"
"533","O15479","MAGEB2"
"534","P00338","LDHA"
"535","P62910","RPL32"
"536","O43707","ACTN4"
"537","P61026","RAB10"
"538","Q9UL46","PSME2"
"539","P61978","HNRNPK"
"540","P62826","RAN"
"541","P62847","RPS24"
"542","Q14974","KPNB1"
"543","P32969",""
"544","P62854","RPS26"
"545","Q06323","PSME1"
"546","Q562R1","ACTBL2"
"547","Q8NC51","SERBP1"
"548","O00233","PSMD9"
"549","P05198","EIF2S1"
"550","P60660","MYL6"
"551","P62273","RPS29"
"552","Q08AM6","VAC14"
"553","Q92841","DDX17"
"554","Q9P032","NDUFAF4"
"555","P26599","PTBP1"
"556","P62820","RAB1A"
"557","P62913","RPL11"
"558","Q92530","PSMF1"
"559","Q9H0U4","RAB1B"
"560","P07910","HNRNPC"
"561","P13646","KRT13"
"562","P16989","YBX3"
"563","P42677","RPS27"
"564","P62899","RPL31"
"565","Q12906","ILF3"
"566","Q92734","TFG"
"567","Q9Y3U8","RPL36"
"568","O60884","DNAJA2"
"569","P14868","DARS1"
"570","P15531","NME1"
"571","Q02218","OGDH"
"572","Q2KHT3","CLEC16A"
"573","Q58FG1","HSP90AA4P"
"574","O75822","EIF3J"
"575","P14866","HNRNPL"
"576","P17844","DDX5"
"577","P52272","HNRNPM"
"578","Q01581","HMGCS1"
"579","Q08211","DHX9"
"580","Q15365","PCBP1"
"581","Q7Z794","KRT77"
"582","Q969Q0","RPL36AL"
"583","Q9H7D7","WDR26"
"584","P07237","P4HB"
"585","P07384","CAPN1"
"586","P34932","HSPA4"
"587","P47897","QARS1"
"588","P47914","RPL29"
"589","P83881","RPL36A"
"590","Q14103","HNRNPD"
"591","Q15233","NONO"
"592","O94822","LTN1"
"593","P11441","UBL4A"
"594","P22234","PAICS"
"595","P27695","APEX1"
"596","P35268","RPL22"
"597","P83731","RPL24"
"598","Q15393","SF3B3"
"599","Q969U7","PSMG2"
"600","Q9UBQ5","EIF3K"
"601","O00221","NFKBIE"
"602","O76080","ZFAND5"
"603","P03508","NS"
"604","P09496","CLTA"
"605","P20042","EIF2S2"
"606","P28065","PSMB9"
"607","P42766","RPL35"
"608","P61006","RAB8A"
"609","P62491","RAB11A"
"610","Q01813","PFKP"
"611","Q12905","ILF2"
"612","Q14444","CAPRIN1"
"613","Q16531","DDB1"
"614","Q5H9B9","BMP2KL"
"615","Q99536","VAT1"
"616","Q9NQ76","MEPE"
"617","Q9P2E9","RRBP1"
"618","O43681","GET3"
"619","P02794","FTH1"
"620","P04075","ALDOA"
"621","P04632","CAPNS1"
"622","P23246","SFPQ"
"623","P31689","DNAJA1"
"624","P35637","FUS"
"625","P43243","MATR3"
"626","P46778","RPL21"
"627","P49207","RPL34"
"628","P62306","SNRPF"
"629","P81605","DCD"
"630","Q13283","G3BP1"
"631","Q15366","PCBP2"
"632","Q99715","COL12A1"
"633","Q9BV68","RNF126"
"634","Q9NSD9","FARSB"
"635","O14744","PRMT5"
"636","O94782","USP1"
"637","P06454","PTMA"
"638","P06733","ENO1"
"639","P12277","CKB"
"640","P31943","HNRNPH1"
"641","P55327","TPD52"
"642","P56192","MARS1"
"643","P60842","EIF4A1"
"644","P63173","RPL38"
"645","P63208","SKP1"
"646","Q01105","SET"
"647","Q09028","RBBP4"
"648","Q6EEV6","SUMO4"
"649","Q8WV99","ZFAND2B"
"650","Q9BVQ7","AFG2B"
"651","O43324","EEF1E1"
"652","O43615","TIMM44"
"653","O60292","SIPA1L3"
"654","O95456","PSMG1"
"655","P09651","HNRNPA1"
"656","P27797","CALR"
"657","P37108","SRP14"
"658","P49591","SARS1"
"659","P53396","ACLY"
"660","P78527","PRKDC"
"661","Q00341","HDLBP"
"662","Q04837","SSBP1"
"663","Q07021","C1QBP"
"664","Q07666","KHDRBS1"
"665","Q5T200","ZC3H13"
"666","Q6BDS2","BLTP3A"
"667","Q8IUD2","ERC1"
"668","Q8N6T3","ARFGAP1"
"669","Q9NR30","DDX21"
"670","Q9NSB4","KRT82"
"671","Q9UBT6","POLK"
"672","Q9UN86","G3BP2"
"673","Q9Y285","FARSA"
"674","Q9Y3A5","SBDS"
"675","Q9Y6M1","IGF2BP2"
"676","O43765","SGTA"
"677","O60763","USO1"
"678","P09497","CLTB"
"679","P10828","THRB"
"680","P18077","RPL35A"
"681","P19013","KRT4"
"682","P21333","FLNA"
"683","P23526","AHCY"
"684","P54136","RARS1"
"685","P62316","SNRPD2"
"686","P62877","RBX1"
"687","Q01844","EWSR1"
"688","Q04637","EIF4G1"
"689","Q13442","PDAP1"
"690","Q13459","MYO9B"
"691","Q7L5Y9","MAEA"
"692","Q92616","GCN1"
"693","Q96S59","RANBP9"
"694","Q9H7F0","ATP13A3"
"695","Q9NSB2","KRT84"
"696","Q9UL63","MKLN1"
"697","Q9Y3I1","FBXO7"
"698","O43390","HNRNPR"
"699","O60841","EIF5B"
"700","O95096","NKX2-2"
"701","P02545","LMNA"
"702","P09382","LGALS1"
"703","P09622","DLD"
"704","P0C7W6","CCDC172"
"705","P10809","HSPD1"
"706","P14618","PKM"
"707","P26639","TARS1"
"708","P30153","PPP2R1A"
"709","P40306","PSMB10"
"710","P51991","HNRNPA3"
"711","P53621","COPA"
"712","P62805",""
"713","Q12933","TRAF2"
"714","Q32MZ4","LRRFIP1"
"715","Q58FG0","HSP90AA5P"
"716","Q5JT25","RAB41"
"717","Q8IWJ2","GCC2"
"718","Q8N0X7","SPART"
"719","Q8N3P4","VPS8"
"720","Q92608","DOCK2"
"721","Q96SI1","KCTD15"
"722","Q99729","HNRNPAB"
"723","Q99933","BAG1"
"724","Q9BUP0","EFHD1"
"725","Q9BWJ5","SF3B5"
"726","Q9H871","RMND5A"
"727","Q9HAW4","CLSPN"
"728","Q9NQ89","FERRY3"
"729","Q9NU02","ANKEF1"
"730","Q9NWU2","GID8"
"731","O15409","FOXP2"
"732","O43776","NARS1"
"733","O60765","ZNF354A"
"734","O94988","FAM13A"
"735","P07602","PSAP"
"736","P15924","DSP"
"737","P16473","TSHR"
"738","P20810","CAST"
"739","P26951","IL3RA"
"740","P36776","LONP1"
"741","P38159","RBMX"
"742","P41567","EIF1"
"743","P42704","LRPPRC"
"744","P50748","KNTC1"
"745","P51148","RAB5C"
"746","P51149","RAB7A"
"747","P52815","MRPL12"
"748","P54577","YARS1"
"749","P55209","NAP1L1"
"750","P61513","RPL37A"
"751","P62308","SNRPG"
"752","P62314","SNRPD1"
"753","P62699","YPEL5"
"754","P62861","FAU"
"755","Q03001","DST"
"756","Q08380","LGALS3BP"
"757","Q09666","AHNAK"
"758","Q13263","TRIM28"
"759","Q14203","DCTN1"
"760","Q6NZI2","CAVIN1"
"761","Q6VN20","RANBP10"
"762","Q71UM5","RPS27L"
"763","Q86V81","ALYREF"
"764","Q8IVL0","NAV3"
"765","Q8IWT6","LRRC8A"
"766","Q8IWV7","UBR1"
"767","Q8IYH5","ZZZ3"
"768","Q8WZ42","TTN"
"769","Q99456","KRT12"
"770","Q99666",""
"771","Q9BRR3","PGAP4"
"772","Q9BVW5","TIPIN"
"773","Q9H0Q0","CYRIA"
"774","Q9NUJ1","ABHD10"
"775","Q9NYC9","DNAH9"
"776","Q9P0J7","KCMF1"
"777","Q9UHB9","SRP68"
"778","Q9UKX3","MYH13"
"779","Q9UPN3","MACF1"
"780","Q9Y2I1","NISCH"
"781","Q9Y3I0","RTCB"
"782","Q9Y4A0","JRKL"
"783","A6NFD8","HELT"
"784","A6NMY6","ANXA2P2"
"785","O00571","DDX3X"
"786","O15021","MAST4"
"787","O60232","ZNRD2"
"788","O75607","NPM3"
"789","O94886","TMEM63A"
"790","O95271","TNKS"
"791","P02792","FTL"
"792","P05455","SSB"
"793","P09012","SNRPA"
"794","P09874","PARP1"
"795","P16403","H1-2"
"796","P17540","CKMT2"
"797","P22309","UGT1A1"
"798","P27816","MAP4"
"799","P29144","TPP2"
"800","P45974","USP5"
"801","P53674","CRYBB1"
"802","P61019","RAB2A"
"803","P61923","COPZ1"
"804","P62318","SNRPD3"
"805","P78347","GTF2I"
"806","Q05481","ZNF91"
"807","Q06830","PRDX1"
"808","Q13155","AIMP2"
"809","Q13487","SNAPC2"
"810","Q13501","SQSTM1"
"811","Q13561","DCTN2"
"812","Q13733","ATP1A4"
"813","Q13765","NACA"
"814","Q13813","SPTAN1"
"815","Q14980","NUMA1"
"816","Q15019","SEPTIN2"
"817","Q16576","RBBP7"
"818","Q16777","H2AC20"
"819","Q16890","TPD52L1"
"820","Q53HC0","CCDC92"
"821","Q5THJ4","VPS13D"
"822","Q6EMB2","TTLL5"
"823","Q6Y7W6","GIGYF2"
"824","Q709C8","VPS13C"
"825","Q7Z478","DHX29"
"826","Q7Z699","SPRED1"
"827","Q7Z739","YTHDF3"
"828","Q8IUQ4","SIAH1"
"829","Q8IYJ3","SYTL1"
"830","Q8IZP2","ST13P4"
"831","Q8N0X2","SPAG16"
"832","Q8N103","TAGAP"
"833","Q8N283","ANKRD35"
"834","Q8N9H9","C1orf127"
"835","Q96F15","GIMAP5"
"836","Q96P31","FCRL3"
"837","Q96RW7","HMCN1"
"838","Q9BR76","CORO1B"
